Event date,Event name,User,Number of events
2024-10-14,ApplicationStarted,ff3e1b70-ee68-48fb-8e8d-1439fecee97e,2
2024-10-14,ChangeMainView,ff3e1b70-ee68-48fb-8e8d-1439fecee97e,4
2024-10-14,UpdateDialogOpen,ff3e1b70-ee68-48fb-8e8d-1439fecee97e,1
2024-10-14,UpdateAvailable,ff3e1b70-ee68-48fb-8e8d-1439fecee97e,1
2024-10-11,ProjectsButtonClicked,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,2
2024-10-11,CreatePDFSummary,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,2
2024-10-11,SaveProjectStandalone,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,1
2024-10-11,SaveButtonClicked,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,1
2024-10-11,SaveAsButtonClicked,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,1
2024-10-11,UpdateAvailable,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,2
2024-10-11,AssortmentDialogOpen,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,1
2024-10-11,ApplicationStarted,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,2
2024-10-11,UpdateDialogOpen,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,1
2024-10-11,ChangeMainView,ff0cac34-c4ed-4ec2-880d-c8e74ff020b3,54
2024-10-08,SaveAsButtonClicked,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-09,ProjectsButtonClicked,fe65745c-e487-4195-ad32-fff35d0a3860,6
2024-10-09,ProductFilterExpanded,fe65745c-e487-4195-ad32-fff35d0a3860,3
2024-10-09,ChangeMainView,fe65745c-e487-4195-ad32-fff35d0a3860,80
2024-10-09,CloudRenderJobDone,fe65745c-e487-4195-ad32-fff35d0a3860,4
2024-10-08,ApplicationStarted,fe65745c-e487-4195-ad32-fff35d0a3860,2
2024-10-08,UpdateDialogOpen,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-09,LoadProjectStandalone,fe65745c-e487-4195-ad32-fff35d0a3860,6
2024-10-09,UpdateDialogOpen,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-09,SaveButtonClicked,fe65745c-e487-4195-ad32-fff35d0a3860,3
2024-10-09,CloudRenderClicked,fe65745c-e487-4195-ad32-fff35d0a3860,4
2024-10-09,CreatePDFSummary,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-08,ProjectsButtonClicked,fe65745c-e487-4195-ad32-fff35d0a3860,2
2024-10-09,ChangeViewFunction,fe65745c-e487-4195-ad32-fff35d0a3860,2
2024-10-08,UpdateAvailable,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-09,UpdateAvailable,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-09,ProductSearch,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-08,LoadProjectStandalone,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-08,ChangeViewFunction,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-09,SaveProjectStandalone,fe65745c-e487-4195-ad32-fff35d0a3860,3
2024-10-08,OpenProject,fe65745c-e487-4195-ad32-fff35d0a3860,1
2024-10-08,ChangeMainView,fe65745c-e487-4195-ad32-fff35d0a3860,31
2024-10-09,OpenProject,fe65745c-e487-4195-ad32-fff35d0a3860,2
2024-10-09,ApplicationStarted,fe65745c-e487-4195-ad32-fff35d0a3860,2
2024-10-10,UpdateAvailable,fe5c979a-5223-4df7-8f04-1db67ef51bf1,1
2024-10-08,ApplicationStarted,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-12,CloudRenderClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,2
